codigo;nroReserva;precio;tipoViaje;millasAcumuladas;codAerolinea;provinciasVisitadas;cantidadPasajeros;cantidadContenedores;costoPorKilo;pesoTransportado;nombreEmpresa;cuit
VJ001;1000;35862.55;1;12862;UA;0;0;0;0.0;0.0;Empresa_27;30-94630714-8
VJ002;1001;39595.67;1;11252;AF;0;0;0;0.0;0.0;Empresa_01;30-99902505-2
VJ003;1002;112170.19;1;1524;AF;0;0;0;0.0;0.0;Empresa_17;30-55714616-5
VJ004;1003;52680.26;1;2802;AA;0;0;0;0.0;0.0;Empresa_29;30-75603816-6
VJ005;1004;193610.14;2;0;0;5;41;0;0.0;0.0;Empresa_04;30-40742981-6
VJ006;1005;36132.87;2;0;0;3;54;0;0.0;0.0;Empresa_13;30-60148807-7
VJ007;1006;150555.84;1;11614;AF;0;0;0;0.0;0.0;Empresa_08;30-82972447-9
VJ008;1007;105497.85;3;0;0;0;0;140;0.89;19851.35;Empresa_12;30-77396150-9
VJ009;1008;164053.54;1;4817;AF;0;0;0;0.0;0.0;Empresa_31;30-16619530-7
VJ010;1009;174231.15;3;0;0;0;0;28;4.03;29407.94;Empresa_25;30-69772082-8
VJ011;1010;188424.7;3;0;0;0;0;117;1.21;23751.33;Empresa_02;30-47483678-7
VJ012;1011;135687.77;2;0;0;8;24;0;0.0;0.0;Empresa_26;30-46123428-9
VJ013;1012;111485.5;3;0;0;0;0;72;3.25;20322.48;Empresa_25;30-69772082-8
VJ014;1013;123714.52;2;0;0;3;14;0;0.0;0.0;Empresa_17;30-55714616-5
VJ015;1014;42330.95;3;0;0;0;0;160;2.29;16265.7;Empresa_02;30-47483678-7
VJ016;1015;152330.7;1;11380;AA;0;0;0;0.0;0.0;Empresa_31;30-16619530-7
VJ017;1016;137635.25;2;0;0;1;31;0;0.0;0.0;Empresa_10;30-54135175-9
VJ018;1017;130550.57;2;0;0;2;38;0;0.0;0.0;Empresa_02;30-47483678-7
VJ019;1018;90843.62;2;0;0;2;54;0;0.0;0.0;Empresa_06;30-26134825-3
VJ020;1019;128246.78;3;0;0;0;0;23;0.6;13752.92;Empresa_08;30-82972447-9
VJ021;1020;61122.26;3;0;0;0;0;27;1.1;49417.47;Empresa_01;30-99902505-2
VJ022;1021;194445.22;2;0;0;4;18;0;0.0;0.0;Empresa_24;30-56493347-0
VJ023;1022;118362.55;1;2139;LATAM;0;0;0;0.0;0.0;Empresa_24;30-56493347-0
VJ024;1023;176146.11;2;0;0;4;12;0;0.0;0.0;Empresa_27;30-94630714-8
VJ025;1024;109707.04;2;0;0;1;59;0;0.0;0.0;Empresa_17;30-55714616-5
VJ026;1025;182588.34;3;0;0;0;0;76;2.44;49541.54;Empresa_15;30-97803741-4
VJ027;1026;140925.17;3;0;0;0;0;136;2.52;8738.36;Empresa_07;30-75314011-7
VJ028;1027;185243.42;3;0;0;0;0;116;1.91;48498.68;Empresa_01;30-99902505-2
VJ029;1028;194690.77;3;0;0;0;0;91;0.65;7394.78;Empresa_02;30-47483678-7
VJ030;1029;146711.13;1;12455;AF;0;0;0;0.0;0.0;Empresa_29;30-75603816-6
VJ031;1030;117546.74;1;14468;AF;0;0;0;0.0;0.0;Empresa_04;30-40742981-6
VJ032;1031;97952.22;3;0;0;0;0;19;2.28;11581.3;Empresa_21;30-27846706-2
VJ033;1032;59050.71;3;0;0;0;0;38;4.4;34271.66;Empresa_15;30-97803741-4
VJ034;1033;104874.61;3;0;0;0;0;9;4.53;24859.44;Empresa_21;30-27846706-2
VJ035;1034;144262.99;3;0;0;0;0;171;2.47;13131.55;Empresa_27;30-94630714-8
VJ036;1035;189726.22;3;0;0;0;0;92;3.44;1441.82;Empresa_09;30-12278473-9
VJ037;1036;87022.53;1;9332;UA;0;0;0;0.0;0.0;Empresa_01;30-99902505-2
VJ038;1037;82670.53;1;3942;AF;0;0;0;0.0;0.0;Empresa_22;30-41397177-7
VJ039;1038;39922.75;2;0;0;1;45;0;0.0;0.0;Empresa_30;30-99235699-1
VJ040;1039;188569.77;3;0;0;0;0;35;1.76;20403.93;Empresa_23;30-91995537-5
VJ041;1040;54588.05;2;0;0;4;34;0;0.0;0.0;Empresa_21;30-27846706-2
VJ042;1041;82076.73;2;0;0;10;10;0;0.0;0.0;Empresa_24;30-56493347-0
VJ043;1042;194399.18;3;0;0;0;0;64;4.1;1406.92;Empresa_31;30-16619530-7
VJ044;1043;159534.01;2;0;0;5;45;0;0.0;0.0;Empresa_21;30-27846706-2
VJ045;1044;171134.59;3;0;0;0;0;65;1.5;3060.79;Empresa_16;30-14301202-8
VJ046;1045;171551.81;3;0;0;0;0;85;0.56;23885.46;Empresa_30;30-99235699-1
VJ047;1046;195159.41;2;0;0;6;30;0;0.0;0.0;Empresa_16;30-14301202-8
VJ048;1047;135192.02;1;4431;AF;0;0;0;0.0;0.0;Empresa_20;30-58480351-5
VJ049;1048;71904.86;1;14769;UA;0;0;0;0.0;0.0;Empresa_18;30-21885384-1
VJ050;1049;115245.06;3;0;0;0;0;58;1.27;44047.6;Empresa_23;30-91995537-5
VJ051;1050;63661.39;3;0;0;0;0;181;3.26;6350.32;Empresa_33;30-17553655-0
VJ052;1051;194088.3;2;0;0;10;13;0;0.0;0.0;Empresa_16;30-14301202-8
VJ053;1052;102907.52;2;0;0;4;12;0;0.0;0.0;Empresa_33;30-17553655-0
VJ054;1053;36370.14;3;0;0;0;0;159;3.98;24714.0;Empresa_14;30-19433006-3
VJ055;1054;191273.92;2;0;0;8;30;0;0.0;0.0;Empresa_13;30-60148807-7
VJ056;1055;36548.43;2;0;0;9;20;0;0.0;0.0;Empresa_16;30-14301202-8
VJ057;1056;140222.73;3;0;0;0;0;182;4.44;12307.17;Empresa_25;30-69772082-8
VJ058;1057;191065.51;3;0;0;0;0;56;4.7;16495.39;Empresa_15;30-97803741-4
VJ059;1058;167925.66;1;8570;UA;0;0;0;0.0;0.0;Empresa_13;30-60148807-7
VJ060;1059;62238.96;3;0;0;0;0;90;4.48;9609.56;Empresa_16;30-14301202-8
VJ061;1060;182869.29;3;0;0;0;0;33;3.5;27329.83;Empresa_28;30-23701557-0
VJ062;1061;141425.31;1;2055;IB;0;0;0;0.0;0.0;Empresa_13;30-60148807-7
VJ063;1062;177341.55;1;11266;LATAM;0;0;0;0.0;0.0;Empresa_06;30-26134825-3
VJ064;1063;163938.88;1;1022;LATAM;0;0;0;0.0;0.0;Empresa_26;30-46123428-9
VJ065;1064;45770.18;1;12499;LATAM;0;0;0;0.0;0.0;Empresa_16;30-14301202-8
VJ066;1065;140662.62;2;0;0;3;43;0;0.0;0.0;Empresa_11;30-95259730-0
VJ067;1066;37683.3;3;0;0;0;0;101;4.07;48646.0;Empresa_19;30-36543334-3
VJ068;1067;96325.74;1;11615;UA;0;0;0;0.0;0.0;Empresa_25;30-69772082-8
VJ069;1068;144375.95;3;0;0;0;0;113;1.62;14752.04;Empresa_27;30-94630714-8
VJ070;1069;121553.84;2;0;0;8;20;0;0.0;0.0;Empresa_25;30-69772082-8
VJ071;1070;95180.78;3;0;0;0;0;149;3.14;40470.3;Empresa_02;30-47483678-7
VJ072;1071;81106.9;2;0;0;6;10;0;0.0;0.0;Empresa_09;30-12278473-9
VJ073;1072;22656.81;2;0;0;4;22;0;0.0;0.0;Empresa_10;30-54135175-9
VJ074;1073;191581.32;1;3797;AF;0;0;0;0.0;0.0;Empresa_14;30-19433006-3
VJ075;1074;177308.94;3;0;0;0;0;102;3.45;46138.16;Empresa_03;30-42921239-6
VJ076;1075;157448.41;2;0;0;1;25;0;0.0;0.0;Empresa_21;30-27846706-2
VJ077;1076;63689.34;2;0;0;5;57;0;0.0;0.0;Empresa_11;30-95259730-0
VJ078;1077;199975.52;1;14381;LH;0;0;0;0.0;0.0;Empresa_31;30-16619530-7
VJ079;1078;49766.73;3;0;0;0;0;198;2.51;48665.57;Empresa_12;30-77396150-9
VJ080;1079;107727.22;3;0;0;0;0;26;2.78;48770.67;Empresa_08;30-82972447-9
VJ081;1080;91086.35;2;0;0;1;19;0;0.0;0.0;Empresa_18;30-21885384-1
VJ082;1081;61450.96;2;0;0;2;12;0;0.0;0.0;Empresa_16;30-14301202-8
VJ083;1082;150838.22;2;0;0;10;39;0;0.0;0.0;Empresa_11;30-95259730-0
VJ084;1083;40788.19;2;0;0;3;35;0;0.0;0.0;Empresa_20;30-58480351-5
VJ085;1084;169155.74;3;0;0;0;0;102;2.58;47515.0;Empresa_03;30-42921239-6
VJ086;1085;24023.83;2;0;0;2;37;0;0.0;0.0;Empresa_07;30-75314011-7
VJ087;1086;63892.54;2;0;0;5;54;0;0.0;0.0;Empresa_01;30-99902505-2
VJ088;1087;20109.04;1;1711;UA;0;0;0;0.0;0.0;Empresa_21;30-27846706-2
VJ089;1088;103800.18;3;0;0;0;0;180;3.87;41142.42;Empresa_32;30-12268797-9
VJ090;1089;170182.28;3;0;0;0;0;112;4.28;38687.65;Empresa_26;30-46123428-9
VJ091;1090;75202.93;3;0;0;0;0;73;3.48;25052.87;Empresa_13;30-60148807-7
VJ092;1091;139276.18;3;0;0;0;0;117;1.72;36270.55;Empresa_03;30-42921239-6
VJ093;1092;178807.98;3;0;0;0;0;21;3.63;14404.97;Empresa_05;30-32974632-9
VJ094;1093;64735.27;2;0;0;9;50;0;0.0;0.0;Empresa_01;30-99902505-2
VJ095;1094;73438.43;1;1126;UA;0;0;0;0.0;0.0;Empresa_26;30-46123428-9
VJ096;1095;82394.48;1;514;LATAM;0;0;0;0.0;0.0;Empresa_05;30-32974632-9
VJ097;1096;95312.81;1;2234;UA;0;0;0;0.0;0.0;Empresa_23;30-91995537-5
VJ098;1097;94805.46;2;0;0;8;28;0;0.0;0.0;Empresa_22;30-41397177-7
VJ099;1098;136651.98;3;0;0;0;0;152;2.55;7059.56;Empresa_11;30-95259730-0
VJ100;1099;156958.24;1;14262;UA;0;0;0;0.0;0.0;Empresa_07;30-75314011-7
